id_libro,id_ejemplar,nombre_libro,autor,estado,fecha_préstamo,fecha_devolución,sede
005,006,Women Writing Africa: West Africa and the Sahel,Esi Sutherland-Addy,disponible,_,_,1
006,001,10 Years of the Caine Prize for African Writing: Plus Coetzee. Gordimer. Achebe. Okri,The Caine The Caine Prize for African Writing,prestado,2021-5-20,2021-5-27,1
006,002,10 Years of the Caine Prize for African Writing: Plus Coetzee. Gordimer. Achebe. Okri,The Caine The Caine Prize for African Writing,prestado,2021-5-20,2021-5-27,1
006,003,10 Years of the Caine Prize for African Writing: Plus Coetzee. Gordimer. Achebe. Okri,The Caine The Caine Prize for African Writing,disponible,_,_,
006,004,10 Years of the Caine Prize for African Writing: Plus Coetzee. Gordimer. Achebe. Okri,The Caine The Caine Prize for African Writing,disponible,_,_,
006,005,10 Years of the Caine Prize for African Writing: Plus Coetzee. Gordimer. Achebe. Okri,The Caine The Caine Prize for African Writing,prestado,2021-5-20,2021-5-27,1
006,006,10 Years of the Caine Prize for African Writing: Plus Coetzee. Gordimer. Achebe. Okri,The Caine The Caine Prize for African Writing,prestado,2021-5-23,2021-5-30,2
007,001,Introduction to African Oral Literature and Performance,Bayo Ogunjimi,disponible,_,_,1
007,002,Introduction to African Oral Literature and Performance,Bayo Ogunjimi,prestado,2021-5-21,2021-5-28,1
007,003,Introduction to African Oral Literature and Performance,Bayo Ogunjimi,prestado,2021-5-21,2021-5-28,1
007,004,Introduction to African Oral Literature and Performance,Bayo Ogunjimi,prestado,2021-5-20,2021-5-27,1
007,005,Introduction to African Oral Literature and Performance,Bayo Ogunjimi,prestado,2021-5-22,2021-5-29,2
007,006,Introduction to African Oral Literature and Performance,Bayo Ogunjimi,disponible,_,_,1
008,001,Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,prestado,2021-5-22,2021-5-29,2
008,002,Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,prestado,2021-5-20,2021-5-27,1
008,003,Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,prestado,2021-5-23,2021-5-30,1
008,004,Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,prestado,2021-5-20,2021-5-27,1
008,005,Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,prestado,2021-5-20,2021-5-27,2
008,006,Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,prestado,2021-5-20,2021-5-27,2
008,007,Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,prestado,2021-5-22,2021-5-29,1
009,001,Oral Epics from Africa,John William Johnson,prestado,2021-5-20,2021-5-27,2
009,002,Oral Epics from Africa,John William Johnson,prestado,2021-5-22,2021-5-29,1
009,003,Oral Epics from Africa,John William Johnson,prestado,2021-5-20,2021-5-27,1
009,004,Oral Epics from Africa,John William Johnson,prestado,2021-5-22,2021-5-29,2
009,005,Oral Epics from Africa,John William Johnson,disponible,_,_,_
009,006,Oral Epics from Africa,John William Johnson,prestado,2021-5-20,2021-5-27,2
010,001,African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,Tony Martin,prestado,2021-5-22,2021-5-29,2
011,001,Land Apart: A South African Reader,Various,prestado,2021-5-23,2021-5-30,2
012,001,Women Writing Africa: The Eastern Region,Amandina Lihamba,disponible,_,_,_
013,001,Nobody Ever Said AIDS: Poems and Stories from Southern Africa,Nobantu Rasebotsa,disponible,_,_,_
014,001,Step into a World: A Global Anthology of the New Black Literature,Kevin Powell,disponible,_,_,_
015,001,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,disponible,_,_,_
016,001,The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,New Internationalist,disponible,_,_,_
017,001,Traditions in World Literature: Literature of Africa. Softcover Student Edition,McGraw-Hill,disponible,_,_,_
018,001,Love Child,Gcina Mhlophe,disponible,_,_,_
019,001,Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,Jacana Media,disponible,_,_,_
020,001,Women Writing Africa: The Southern Region: Volume 1,Sheila Meintjes,prestado,2021-5-23,2021-5-30,2
021,001,Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's,ValZrie Orlando,disponible,_,_,_
022,001,Less Than One and Double: A Feminist Reading of African Women's Writing,Kenneth W. Harrow,prestado,2021-5-23,2021-5-30,2
023,001,The Rienner Anthology of African Literature,Anthonia C. Kalu,prestado,2021-5-23,2021-5-30,2
024,001,Oral and Written Expressions of African Cultures,Toyin Falola,prestado,2021-5-23,2021-5-30,2
025,001,Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,Monica Arac de Nyeko,disponible,_,_,_
026,001,Up the Down Escalator,Linda Rode,disponible,_,_,_
027,001,Basali!: Stories by and about Women in Lesotho,K. Limakatso Kendall,disponible,_,_,_
028,001,How God Fix Jonah,Lorenz Graham,disponible,_,_,_
029,001,Glass Jars among Trees,Arja Salafranca,disponible,_,_,_
030,001,Running Towards Us: New Writing from South Africa,Isabel Balseiro,disponible,_,_,_
031,001,Of Suffocated Hearts And Tortured Souls,Valerie Key Orlando,disponible,_,_,_
032,001,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,disponible,_,_,_
033,001,Among the Blacks,Ron Padgett,disponible,_,_,_
034,001,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,Jon Stewart,disponible,_,_,_
035,001,The Best American Nonrequired Reading 2010,Dave Eggers,disponible,_,_,_
036,001,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,Jon Stewart,disponible,_,_,_
037,001,100 Best-Loved Poems,Philip Smith,disponible,_,_,_
038,001,The Norton Anthology of American Literature. Shorter Seventh Edition. One-Volume Paperback,Wayne Franklin,disponible,_,_,_
039,001,The Best American Poetry 2009,David Wagoner,disponible,_,_,_
040,001,The Oxford Book of American Short Stories,Joyce Carol Oates,disponible,_,_,_
041,001,The Best American Essays 2009,Mary Oliver,disponible,_,_,_
042,001,The Norton Anthology of American Literature. Package 2: Volumes C. D. and E,Jerome Klinkowitz,disponible,_,_,_
043,001,Early African American Classics (Barnes &amp,Barnes & Noble,disponible,_,_,_
044,001,African-American Poetry: An Anthology. 1773-1930,Joan R. Sherman,disponible,_,_,_
045,001,Couldn't Keep It to Myself: Testimonies from Our Imprisoned Sisters,Wally Lamb,disponible,_,_,_
046,001,The Norton Anthology of Poetry. Shorter 5th Edition,Margaret Ferguson,disponible,_,_,_
047,001,The Best American Poetry 2010,Amy Gerstler,disponible,_,_,_
048,001,Classic Slave Narratives: The Life of Olaudah Equiano. The History of Mary Prince. Narrative of the Life of Frederick Douglass. Incidents in the Life of a Slave Girl,Henry Louis Gates Jr.,disponible,_,_,_
049,001,The Best American Nonrequired Reading 2009,Dave Eggers,disponible,_,_,_
050,001,In Fact: The Best of Creative Nonfiction,Lee Gutkind,disponible,_,_,_
051,001,The Best American Essays of the Century,Joyce Carol Oates,disponible,_,_,_
052,001,The Best Loved Poems of the American People,Hazel Felleman,disponible,_,_,_
053,001,The Norton Anthology of American Literature: Volume A: Beginnings to 1820,Wayne Franklin,disponible,_,_,_
054,001,The Norton Anthology of Poetry,Margaret Ferguson,disponible,_,_,_
055,001,The Norton Anthology of African American Literature. Vol. 2,Henry Louis Gates Jr.,disponible,_,_,_
056,001,Poems. Poets. Poetry: An Introduction and Anthology,Helen Vendler,disponible,_,_,_
057,001,The Poets Laureate Anthology,Elizabeth Hun Schmidt,disponible,_,_,_
058,001,The Portable Beat Reader,Various,disponible,_,_,_
059,001,The Best American Short Plays 2008-2009,Barbara Parisi,disponible,_,_,_
060,001,The Gift of Love,Lori Foster,disponible,_,_,_
061,001,One Hundred and One Famous Poems ,Roy Cook,disponible,_,_,_
062,001,The Vintage Book of Contemporary American Poetry,J. D. McClatchy,disponible,_,_,_
063,001,Literature: A Pocket Anthology,R. S. Gwynn,disponible,_,_,_
064,001,I'll Fly Away: Further Testimonies from the Women of York Prison,Wally Lamb,disponible,_,_,_
065,001,American Earth: Environmental Writing Since Thoreau,Bill McKibben,disponible,_,_,_
066,001,Best Poems of the English Language: From Chaucer Through Robert Frost,Harold Bloom,disponible,_,_,_
067,001,Humor Me: An Anthology of Funny Contemporary Writing (Plus Some Great Old Stuff Too),Ian Frazier,disponible,_,_,_
068,001,Coming of Age in America: A Multicultural Anthology,Mary Frosch,disponible,_,_,_
069,001,Three African-American Classics: Up from Slavery. The Souls of Black Folk and Narrative of the Life of Frederick Douglass,Booker T. Washington,disponible,_,_,_
070,001,100 Best African American Poems with CD,Nikki Giovanni,disponible,_,_,_
071,001,Six American Poets: An Anthology,Joel Conarroe,disponible,_,_,_
072,001,Norton Anthology of Literature by Women: The Traditions in English,Sandra M. Gilbert,disponible,_,_,_
072,001,Multicultural Children's Literature: Through the Eyes of Many Children,Donna E. Norton,disponible,_,_,_
074,001,The Voice That Is Great within Us: American Poetry of the Twentieth Century,Hayden Carruth,disponible,_,_,_
075,001,Poems That Touch the Heart,A.L. Alexander,disponible,_,_,_
076,001,I Thought My Father Was God: And Other True Tales from NPR's National Story Project,Paul Auster,disponible,_,_,_
077,001,Listening For God Rdr Vol 4,Paula J. Carlson,disponible,_,_,_
078,001,The American Tradition in Literature (concise) book alone,George Perkins,disponible,_,_,_
079,001,Approaching Literature: Writing. Reading. Thinking,Peter Schakel,disponible,_,_,_
080,001,The Norton Anthology of American Literature: Volume C: 1865-1914,Arnold Krupat,disponible,_,_,_
081,001,American Fantastic Tales Boxed Set,Peter Straub,disponible,_,_,_
082,001,Unsettling America: An Anthology of Contemporary Multicultural Poetry,Maria Mazziotti Gillan,disponible,_,_,_
083,001,Listening For God Reader. Vol 1,Paula J. Carlson,disponible,_,_,_
084,001,Concise Anthology of American Literature,James Leonard,disponible,_,_,_
085,001,The Heath Anthology of American Literature: Contemporary Period (1945 To The Present). Volume E,Paul Lauter,disponible,_,_,_
086,001,The Portable Harlem Renaissance Reader,David Lewis,disponible,_,_,_
087,001,American Short Stories,Bert Hitchcock,disponible,_,_,_
088,001,Great Love Poems,Shane Weller,disponible,_,_,_
089,001,The Harper American Literature. Single Volume Edition,Donald McQuade,disponible,_,_,_
090,001,The Latino Reader: An American Literary Tradition from 1542 to the Present,Margarite Fernandez Olmos,disponible,_,_,_
091,001,Black Nature,Camille T. Dungy,disponible,_,_,_
092,001,Anthology of American Literature Volume II,George McMichael,disponible,_,_,_
093,001,Best Remembered Poems,Martin Gardner,disponible,_,_,_
094,001,Nine Plays of the Modern Theater: Waiting for Godot,Harold Clurman,disponible,_,_,_
095,001,The Norton Anthology of Literature by Women: The Traditions in English. Vol. 2,Sandra M. Gilbert,disponible,_,_,_
096,001,Writing New York: A Literary Anthology,Phillip Lopate,disponible,_,_,_
097,001,The Best American Essays 2009,Mary Oliver,disponible,_,_,_
098,001,The Hudson River Valley Reader,Edward C. Goodman,disponible,_,_,_
099,001,The Best American Poetry 2009,David Wagoner,disponible,_,_,_
100,001,Sudden Fiction Latino: Short-Short Stories from the United States and Latin America,Robert Shapard,disponible,_,_,_
101,001,I Am the Darker Brother: An Anthology of Modern Poems by African Americans,Arnold Adoff,disponible,_,_,_
102,001,Classic American Autobiographies,William L. Andrews,disponible,_,_,_
103,001,Mental Floss: Scatterbrained,Editors Of Mental Floss,disponible,_,_,_
104,001,The Portable Sixties Reader,Ann Charters,disponible,_,_,_
105,001,Modern American Memoirs,Annie Dillard,disponible,_,_,_
106,001,Best American Spiritual Writing 2007,Philip Zaleski,disponible,_,_,_
107,001,The Norton Anthology of American Literature: Volume D: 1914-1945,Jerome Klinkowitz,disponible,_,_,_
108,001,Making Literature Matter: An Anthology for Readers and Writers,John Schilb,disponible,_,_,_
109,001,Luis Valdez - Early Works: Actos. Bernabe and Pensamiento Serpentino,Luis Valdez,disponible,_,_,_
110,001,In Our Own Words: Student Writers at Work,Rebecca Mlynarczyk,disponible,_,_,_
111,001,Touch,Toni Press-Coffman,disponible,_,_,_
112,001,The American Tradition in Literature. Volume 1(book alone),George Perkins,disponible,_,_,_
113,001,The Four Seasons: Poems,J. D. McClatchy,disponible,_,_,_
114,001,The American Stage: Writing on Theater from Washington Irving to Tony Kushner,Lawrence Senelick,disponible,_,_,_
115,001,Bum Rush the Page: A Def Poetry Jam,Tony Medina,disponible,_,_,_
116,001,The Outlaw Bible of American Literature,Alan Kaufmann,disponible,_,_,_
117,001,Mother California: A Story of Redemption Behind Bars,Kenneth E. Hartman,disponible,_,_,_
118,001,The Best American Short Stories 2003,Walter Mosley,disponible,_,_,_
119,001,Spider Woman's Granddaughters: Traditional Tales and Contemporary Writing by Native American Women,Paula Gunn Allen,disponible,_,_,_
120,001,Transforming a Rape Culture,Emilie Buchwald,disponible,_,_,_
121,001,American Food Writing: An Anthology with Classic Recipes,Molly O'Neill,disponible,_,_,_
122,001,Baseball: A Literary Anthology,Nicholas Dawidoff,disponible,_,_,_
123,001,Loving in the War Years: Lo que nunca paso por sus labios,Cherrie Moraga,disponible,_,_,_
124,001,Don't Squat With Your Spurs On: A Cowboy's Guide to Life,Texas Bix Bender,disponible,_,_,_
125,001,Listening For God Reader Volume 3,Paula J. Carlson,disponible,_,_,_
126,001,Fierce Pajamas: An Anthology of Humor Writing from the New Yorker,David Remnick,disponible,_,_,_
127,001,The Top 500 Poems,William Harmon,disponible,_,_,_
128,001,True Crime: An American Anthology,Harold Schechter,disponible,_,_,_
129,001,I Am Not My Breast Cancer: Women Talk Openly about Love and Sex. Hair Loss and Weight Gain. Mothers and Daughters. and Being a Woman with Breast Cancer,Ruth Peltason,disponible,_,_,_
130,001,African American Literature (Penguin Academics Series),Keith Gilyard,disponible,_,_,_
131,001,Anthology of American Literature. Volume I,George McMichael,disponible,_,_,_
132,001,The Heath Anthology of American Literature: Modern Period (1910?1945). Volume D,Kirk Curnutt,disponible,_,_,_
133,001,Poems of New York,Elizabeth Schmidt,disponible,_,_,_
134,001,American Dreams,Sapphire,disponible,_,_,_
135,001,Black Theatre USA. V2: Plays by African Americans 1935-Today. Vol. 2,Ted Shine,disponible,_,_,_
136,001,The Signet Classic Book of American Short Stories,Burton Raffel,disponible,_,_,_
137,001,The American Transcendentalists: Essential Writings,Lawrence Buell,disponible,_,_,_
138,001,Finding Freedom: Writings from Death Row,Jarvis Jay Masters,disponible,_,_,_
139,001,The Best American Short Stories 2004,Lorrie Moore,disponible,_,_,_
140,001,New York Stories: The Best of the City Section of the New York Times,Constance Rosenblum,disponible,_,_,_
141,001,Black Voices: An Anthology of African-American Literature,Various,disponible,_,_,_
142,001,Bordering Fires: The Vintage Book of Contemporary Mexican and Chicano/a Literature,Cristina Garcia,disponible,_,_,_
143,001,The Best American Short Plays 2007-2008,Barbara Parisi,disponible,_,_,_
144,001,Postmodern American Fiction: A Norton Anthology,Paula Geyh,disponible,_,_,_
145,001,Bronx Accent: A Literary and Pictorial History of the Borough,Lloyd Ultan,disponible,_,_,_
146,001,Native American Songs and Poems: An Anthology,Brian Swann,disponible,_,_,_
147,001,The Best American Sports Writing 2008,William Nack,disponible,_,_,_
148,001,The Lost Algonquin Round Table,Nat Benchley,disponible,_,_,_
149,001,Thom Pain (based on nothing),Will Eno,disponible,_,_,_
150,001,Death Blossoms: Reflections from a Prisoner of Conscience,Mumia Abu-Jamal,disponible,_,_,_
151,001,B. O. O. B. S.: A Bunch of Outrageous Breast-Cancer Survivors Tell Their Stories of Courage. Hope and Healing,Ann Kempner Fisher,disponible,_,_,_
152,001,Becoming Americans: Four Centuries of Immigrant Writing,Ilan Stavans,disponible,_,_,_
153,001,Dream Me Home Safely: Writers on Growing Up in America,Susan Richards Shreve,disponible,_,_,_
154,001,The Best American Short Stories 2005,Michael Chabon,disponible,_,_,_
155,001,The Stuffed Owl: An Anthology of Bad Verse,D.B. Wyndham Lewis,disponible,_,_,_
156,001,The American Tradition in Literature. Volume 2 (book alone),George Perkins,disponible,_,_,_
157,001,American Working-Class Literature: An Anthology,Nicholas Coles,disponible,_,_,_
158,001,The Butterfly's Way: Voices from the Haitian Dyaspora in the United States,Edwidge Danticat,disponible,_,_,_
159,001,Bedford Anthology of American Literature: Volume Two: 1865 to Present,Susan Belasco,disponible,_,_,_
160,001,Titanica: The Disaster of the Century in Poetry. Song and Prose,Steven Biel,disponible,_,_,_
161,001,The Unswept Path: Contemporary American Haiku,John Brandi,disponible,_,_,_
162,001,The Vietnam War in American Stories. Songs. and Poems,H. Bruce Franklin,disponible,_,_,_
163,001,The Best American Essays 2008,Adam Gopnik,disponible,_,_,_
164,001,The Best American Poetry 2008,Charles Wright,disponible,_,_,_
165,001,Poems from the Women's Movement,Honor Moore,disponible,_,_,_
166,001,Listening for God: Contemporary Literature And The Life Of Faith: Volume 2,Paula J. Carlson,disponible,_,_,_
167,001,The Norton Anthology of African American Literature,Henry Louis Gates Jr.,disponible,_,_,_
168,001,The Best American Sports Writing 2008,William Nack,disponible,_,_,_
169,001,New Orleans Stories: Great Writers on the City,John Miller,disponible,_,_,_
170,001,Sporting Lives: Metaphor and Myth in American Sports,James W. Pipkin,disponible,_,_,_
171,001,American Literature. Volume II (Penguin Academics Series),William E. Cain,disponible,_,_,_
172,001,After Frost: Anthol Poetry From N E,Henry Lyman,disponible,_,_,_
173,001,To The Shore Once More. Volume II: A Journey Down The Jersey Shore,Frank Finale,disponible,_,_,_
174,001,Winter Song: Christmas Readings,Madeleine L'Engle,disponible,_,_,_
175,001,Rag and Bone Shop of the Heart: A Poetry Anthology,Robert Bly,disponible,_,_,_
176,001,Oxford Book of American Poetry,David Lehman,disponible,_,_,_
177,001,The Portable Jack Kerouac,Jack Kerouac,disponible,_,_,_
178,001,Boricuas: Influential Puerto Rican Writings--- An Anthology,Roberto Santiago,disponible,_,_,_
179,001,Coming of Age in the 21st Century,Mary Frosch,disponible,_,_,_
180,001,Empire City: New York Through the Centuries,Kenneth T. Jackson,disponible,_,_,_
181,001,Erotique Noire: Black Erotica,Miriam Decosta-Willis,disponible,_,_,_
182,001,Short Story Masterpieces,Robert Penn Warren,disponible,_,_,_
183,001,The Best American Short Plays 2006-2007,Barbara Parisi,disponible,_,_,_
184,001,Black on White: Black Writers on What It Means to Be White,David R. Roediger,disponible,_,_,_
185,001,In a Narrow Grave: Essays on Texas,Larry McMurtry,disponible,_,_,_
186,001,Queer 13: Lesbian and Gay Writers Recall Seventh Grade,Clifford Chase,disponible,_,_,_
187,001,Hokum: An Anthology of African-American Humor,Paul Beatty,disponible,_,_,_
188,001,Voices in Our Blood: America's Best on the Civil Rights Movement,Jon Meacham,disponible,_,_,_
189,001,The Complete Works of Kate Chopin,Kate Chopin,disponible,_,_,_
190,001,Literature and the Environment: A Reader on Nature and Culture,Lorraine Anderson,disponible,_,_,_
191,001,The Heath Anthology of American Literature. Concise Edition,Paul Lauter,disponible,_,_,_
192,001,Early American Writing,Various,disponible,_,_,_
193,001,Soulscript: A Collection of Classic African American Poetry,June Jordan,disponible,_,_,_
194,001,The Norton Anthology of Literature by Women: The Traditions in English. Vol. 1,Sandra M. Gilbert,disponible,_,_,_
195,001,Out of Her Mind: Women Writing on Madness,Rebecca Shannonhouse,disponible,_,_,_
196,001,The Wadsworth Themes American Literature Series. 1945-Present. Theme 18: Class Conflicts and the American Dream,Jay Parini,disponible,_,_,_
197,001,Concise Anthology of American Literature,George McMichael,disponible,_,_,_
198,001,Written by Herself: Autobiographies of American Women,Jill Ker Conway,disponible,_,_,_
199,001,Asian American Studies Now: A Critical Reader,Jean Yu-wen Shen Wu,disponible,_,_,_
200,001,Growing Up in the South: An Anthology of Modern Southern Literature,Suzanne Jones,disponible,_,_,_
201,001,American Protest Literature,Zoe Trodd,disponible,_,_,_
202,001,The Vietnam Reader: The Definitive Collection of American Fiction and Nonfiction on the War,Stewart O'Nan,disponible,_,_,_
203,001,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Gloria Bird,disponible,_,_,_
204,001,The Norton Anthology of American Literature: Volume E: 1945 to the Present,Jerome Klinkowitz,disponible,_,_,_
205,001,Living Literature: An Introduction to Fiction. Poetry. Drama,John Brereton,disponible,_,_,_
206,001,Women of the Beat Generation: The Writers. Artists and Muses at the Heart of a Revolution,Brenda Knight,disponible,_,_,_
207,001,La Llorona on the Longfellow Bridge: Poetry Y Otras Movidas,Alicia Gaspar De Alba,disponible,_,_,_
208,001,To the Shore Once More: A Portrait Of The Jersey Shore,Frank Finale,disponible,_,_,_
209,001,Witnessing Lynching: American Writers Respond,Anne P. Rice,disponible,_,_,_
210,001,Longman Anthology of Women's Literature,Mary K. DeShazer,disponible,_,_,_
211,001,Elements of Evolutionary Genetics,Brian Charlesworth,disponible,_,_,_
212,001,The Best American Short Stories 2001,Barbara Kingsolver,disponible,_,_,_
213,001,The Classic Hundred Poems: All-Time Favorites,William Harmon,disponible,_,_,_
214,001,The Best American Nonrequired Reading 2007,Dave Eggers,disponible,_,_,_
215,001,The Best New Playwrights 2009,Lawrence Harbison,disponible,_,_,_
216,001,The Vintage Book of African American Poetry,Michael S. Harper,disponible,_,_,_
217,001,Crossing the Danger Water: Three Hundred Years of African-American Writing,Deirdre Mullane,disponible,_,_,_
218,001,2007: The Best Ten-Minute Plays for Two Actors,Lawrence Harbison,disponible,_,_,_
219,001,The Hudson River Valley Reader,Edward C. Goodman,disponible,_,_,_
220,001,Three Centuries of American Poetry,Allen Mandelbaum,disponible,_,_,_
221,001,Down Time: Great Writers on Diving,Ed Kittrell,disponible,_,_,_
222,001,Blues Poems (Everyman's Library Pocket Poets),Kevin Young,disponible,_,_,_
223,001,Age Ain't Nothing But a Number: Black Women Explore Midlife,Carleen Brice,disponible,_,_,_
224,001,Literary Nevada: Writings from the Silver State,Cheryll Glotfelty,disponible,_,_,_
225,001,Nickel and Dimed,Joan Holden,disponible,_,_,_
226,001,The Haves and Have Nots: 30 Stories about Money and Class in America,Barbara H. Solomon,disponible,_,_,_
227,001,The Best American Short Plays 2003-2004,Glenn Young,disponible,_,_,_
228,001,Latino Boom: An Anthology of U. S. Latino Literature,John Christie,disponible,_,_,_
229,001,Up All Night: Adventures in Lesbian Sex,Stacy Bias,disponible,_,_,_
230,001,Anthology of Modern American Poetry,Cary Nelson,disponible,_,_,_
231,001,A Patriot'S Handbook: Songs. Poems. Stories. And Speeches Celebrating The Land We Love,Caroline Kennedy,disponible,_,_,_
232,001,Uncle Remus: His Songs and His Sayings,Joel Chandler Harris,disponible,_,_,_
233,001,The Heath Anthology of American Literature: Volume B: Early Nineteenth Century (1800-1865),Paul Lauter,disponible,_,_,_
234,001,Immigrant Women,Maxine Schwartz Seller,disponible,_,_,_
235,001,The American Aeneas: Classical Origins of the American Self,John C. Shields,disponible,_,_,_
236,001,Love. Castro Street: Reflections of San Francisco,Katherine V. Forrest,disponible,_,_,_
237,001,The Women's Project and Productions: The Best One-Act Plays. 1975-1999,Julia Miles,disponible,_,_,_
238,001,Feeling Italian: The Art of Ethnicity in America,Thomas Ferraro,disponible,_,_,_
239,001,Pamphlets of Protest: An Anthology of Early African American Protest Literature. 1790-1860,Richard G. Newman,disponible,_,_,_
240,001,A Whole Other Ball Game: Women's Literature on Women's Sport,Joli Sandoz,disponible,_,_,_
241,001,A Companion to African American Literature,Gene A. Jarrett,disponible,_,_,_
242,001,Conversations with Mexican American Writers: Languages and Literatures in the Borderlands,Elisabeth Mermann-Jozwiak,disponible,_,_,_
243,001,The Palm of My Heart: Poetry by African American Children,Davida Adedjouma,disponible,_,_,_
244,001,Women and Children of the Mills: An Annotated Guide to Nineteenth-Century American Textile Factory Literature. Vol. 28,Judith Ranta,disponible,_,_,_
245,001,Rising Voices,Arlene Hirschfelder,disponible,_,_,_
246,001,Brotherman: The Odyssey of Black Men in America--an Anthology,Robert Allen,disponible,_,_,_
247,001,Literary Journalism: A New Collection of the Best American Nonfiction,Mark Kramer,disponible,_,_,_
248,001,Americans in Paris: A Literary Anthology,Adam Gopnik,disponible,_,_,_
249,001,Uncle Remus: His Songs and His Sayings,Joel Chandler Harris,disponible,_,_,_
250,001,Running a Thousand Miles for Freedom: The Escape of William and Ellen Craft from Slavery,Craft,disponible,_,_,_
251,001,If I Had My Life to Live Over,Sandra Martz,disponible,_,_,_
252,001,Postmodern American Poetry: A Norton Anthology,Paul Hoover,disponible,_,_,_
253,001,Sisters of the Earth: Women's Prose and Poetry About Nature,Lorraine Anderson,disponible,_,_,_
254,001,The Lincoln Anthology: Great Writers on His Life and Legacy from 1860 to Now,Harold Holzer,disponible,_,_,_
